submission_id,created_at,submitted_by,role,product_name,prodgroup3,operation,question_id,module_key,answer,required,editable,field_type,applies_to,source_rule,updated_at,updated_by
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,product_name,LCBI,Hello,Y,Y,text,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,prodgroup3,LCBI,aa,Y,Y,text,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,operation,LCBI,aa,Y,Y,text,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,ME,Hello,aa,aa,tp_name,LCBI,1234567,Y,Y,text,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,nsb,LCBI,Y,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,mcp,LCBI,Y,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,package,LCBI,BGA,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,bare_die_lid,LCBI,Bare die,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,foveros,LCBI,Foveros,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,implementation_stage,LCBI,aaa,Y,Y,text,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,segment,LCBI,Thunderbolt,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,xvi_tool_type,LCBI,TRI,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,fab_technology,LCBI,aaa,Y,Y,text,LCBI,0 common,2026-08-25T10:40:50Z,""
98f0058f-0815-454c-adc2-9cb1e9da8bde,2026-08-25T10:14:55Z,current_user,TI,Hello,aa,aa,lts_ball,LCBI,Y,Y,Y,select,LCBI,0 common,2026-08-25T10:40:50Z,""
